SalesPrice,Cost
3210,1395.8
5500,2679.41
1900,1075.74
6760,4433.5
3000,1866.9
3200,1300
3200,1300
1060,475.33
580,268.67
625,320.33
925,372
580,268.67
580,268.67
7500,5308.15
18250,26018.674
6500,1000
7000,5000
3500,2500
6500,4000
3000,2265
200,62.03
2600,2000
3500,1552.67
1000,732.63
3000,1814.04
2500,1120
750,475.33
5250,3001.83
19000,10351.13
3000,1623
300,84.16
1037.4,662.35
1560,1095
728,330
2860,1772.86
2420,1125.09
1500,450
4500,1973.97
4000,2039
600,277.02
250,125
250,84
1700,800
1000,500
2400,1975.51
995,762.71
1600,1200
13605,4101.45
100,56
6325,5030
2150,982.6
780,450
350,219.33
2500,421.05
4000,1700
2100,682
800,372
2500,1427.29
2200,1363.59
1204,1065.73
300,275
1171,900
4800,2768.97
1100,610.69
16500,4035.41
13900,6245
40750,31200
2900,1400
2000,1150
1800,776.33
1200,550
8500,2697.74
38000,16005
65000,35185.19
100000,42823.69
1300,930.3
300,215.75
2500,1431.93
1200,789.38
1500,986.73
1500,888.05
1670,809.11
1800,1124.6
1500,672.82
1290,624.93
1800,900
35000,9062.52
5500,1542
6796.79,2368.14
3000,1250
9200,5391
2000,808.78
35000,12000
4000,3000
3000,2000
300,171
7800,5119.25
7500,6575.22
2296.78,2000
4019.36,3500
2296.78,2000
9347.88,8140
4421.3,3850
1456.17,1268.01
893.45,778
219.34,191
98.76,86
102.05,88.86
4593.55,4000
57.42,50
3010.93,2621.87
200.97,175
200.97,175
200.97,175
200.97,175
63.16,55
861.29,750
114.84,100
1359.36,1183.71
918.71,800
1607.74,1400
223.09,194.26
165.82,144.39
165.82,144.39
246.9,215
213.7,186.09
918.71,800
2870.97,2500
1290.02,1123.33
2163.98,1884.36
6442.46,5610
1378.07,1200
459.36,400
172.26,150
545.86,475.33
664.54,578.67
195.23,170
631.61,550
216.9,188.87
205.16,178.65
1148.39,1000
683.29,595
459.36,400
310.06,270
947.42,825
1148.39,1000
229.68,200
631.61,550
378.97,330
57.42,50
344.52,300
539.74,470
12.63,11
405.9,353.45
1708.6,1487.82
286.67,249.63
446.78,389.05
308.54,268.67
1263.23,1100
28.71,25
591.42,515
803.87,700
114.84,100
302.03,263
24.12,21
5.74,5
459.36,400
17.23,15
1573.23,1369.95
229.68,200
1339.02,1166
252.65,220
114.84,100
74.65,65
180.87,157.5
86.13,75
344.52,300
1433.36,1248.15
179.17,156.02
172.26,150
321.74,280.17
344.52,300
689.03,600
114.84,100
97.61,85
229.68,200
229.68,200
229.68,200
315.81,275
600.26,522.7
399.49,347.87
229.68,200
574.19,500
114.84,100
689.03,600
229.68,200
86.13,75
114.84,100
229.68,200
287.1,250
229.68,200
298.58,260
114.84,100
113.69,99
80.39,70
227.38,198
180.3,157
1.15,0
115.38,100.47
51.68,45
86.13,75
114.84,100
229.68,200
488.07,425
149.29,130
200.97,175
114.84,100
367.48,320
